,attendee_id,country,attend_as,field
933,A00971,Taiwan,Student,10
934,A00972,Japan,Student,5
935,A00973,Australia,General,
936,A00974,China,General,15
937,A00975,China,Student,14
938,A00976,Japan,Student,18
939,A00977,Japan,General,3
940,A00978,Japan,General,7
941,A00979,Japan,Student,1
942,A00980,Japan,Student,17
943,A00981,Japan,Guest (*このカテゴリは選択しないでください),
944,A00982,Japan,General,18
945,A00983,Croatia,General,12
946,A00984,Poland,Student,17
947,A00985,Japan,General,7
948,A00986,Taiwan,Student,3
949,A00987,Germany,Student,4
950,A00988,Réunion,General,14
951,A00989,China,Student,18
952,A00990,Germany,General,18
953,A00991,Thailand,General,5
954,A00992,Germany,Student,7
955,A00993,Germany,Student,16
956,A00994,Bangladesh,Developing country (*上記注釈をご参照ください),14
957,A00995,Brazil,General,18
958,A00996,Czech Republic,General,8
959,A00997,Czech Republic,General,7
960,A00998,Greece,Student,3
961,A00999,Sweden,Student,7
962,A01001,Korea,Student,18
963,A01002,Germany,Student,5
964,A01003,Canada,General,3
965,A01004,Japan,General,
966,A01005,South Africa,Student,
967,A01006,Japan,Student,18
968,A01007,China,General,14
969,A01008,France,Student,14
970,A01009,Germany,General,14
971,A01010,Greece,Student,15
972,A01011,United States of America,General,
973,A01012,United States of America,Student,20
974,A01013,United States of America,General,13
975,A01014,United States of America,General,14
976,A01015,United States of America,General,16
977,A01016,UK,General,15
978,A01017,Brazil,General,3
979,A01018,Chile,Student,1
980,A01019,Japan,General,17
981,A01020,Slovakia,Student,13
982,A01021,UK,General,16
983,A01022,New Zealand,Student,3
984,A01023,Japan,General,14
985,A01024,Japan,General,14
986,A01025,United States of America,General,15
987,A01026,Japan,General,11
988,A01027,Japan,Student,18
989,A01028,China,General,16
990,A01029,Japan,General,3
991,A01030,Japan,General,0
992,A01031,Japan,General,15
993,A01032,United States of America,General,7
994,A01033,Japan,General,10
995,A01034,Japan,General,
996,A01035,Japan,General,8
997,A01036,China,General,1
998,A01037,Australia,General,18
999,A01038,China,General,8
1000,A01039,Japan,General,10
1001,A01040,China,General,17
1002,A01041,Japan,General,18
1003,A01042,Japan,General,11
1004,A01043,China,General,10
1005,A01044,China,General,16
1006,A01045,Japan,Student,20
1007,A01046,Japan,Student,5
1008,A01047,Japan,General,
1009,A01048,Japan,Student,6
1010,A01049,Japan,General,19
1011,A01050,Japan,Student,15
1012,A01051,Japan,Student,18
1013,A01052,Japan,Student,18
1014,A01053,Japan,General,7
1015,A01054,Thailand,General,
1016,A01055,Singapore,General,20
1017,A01056,Australia,General,
1018,A01057,Japan,Student,5
1019,A01058,China,General,14
1020,A01059,China,General,15
1021,A01060,China,General,18
1022,A01061,China,General,3
1023,A01062,China,General,
1024,A01063,Germany,General,8
1025,A01064,Greece,General,14
1026,A01065,China,Student,8
1027,A01066,France,General,7
1028,A01067,Japan,General,18
1029,A01068,Japan,General,19
1030,A01069,Italy,General,14
1031,A01070,France,Student,16
1032,A01071,France,General,12
1033,A01072,Israel,General,10
1034,A01073,Japan,General,6
1035,A01074,Japan,Student,16
1036,A01075,Japan,General,7
1037,A01076,UK,Student,10
1038,A01077,Germany,General,7
1039,A01078,Spain,General,14
1040,A01079,Greece,Student,3
1041,A01080,China,Student,10
1042,A01081,China,Student,8
1043,A01082,Japan,Student,11
1044,A01083,Canada,Student,16
1045,A01084,Germany,General,17
1046,A01085,United States of America,General,
1047,A01086,Czech Republic,General,16
1048,A01087,Germany,General,17
1049,A01088,Canada,General,14
1050,A01089,Australia,Student,7
1051,A01090,United States of America,General,20
1052,A01091,United States of America,General,13
1053,A01092,China,General,13
1054,A01093,France,Student,20
1055,A01094,Japan,Student,7
1056,A01095,Czech Republic,Student,16
1057,A01096,UK,General,11
1058,A01097,China,Student,7
1059,A01098,France,General,16
1060,A01099,United States of America,General,15
1061,A01100,Switzerland,General,12
1062,A01101,United States of America,General,5
1063,A01102,Korea,General,
1064,A01103,United States of America,General,14
1065,A01104,Canada,Student,13
1066,A01105,United States of America,Student,10
1067,A01106,Australia,General,12
1068,A01107,United States of America,General,15
1069,A01108,United States of America,General,13
1070,A01109,United States of America,General,16
1071,A01110,United States of America,General,8
1072,A01112,Japan,General,7
1073,A01113,France,General,18
1074,A01114,New Zealand,General,10
1075,A01115,Australia,Student,3
1076,A01116,Japan,General,7
1077,A01117,Korea,General,5
1078,A01118,Japan,General,15
1079,A01119,Japan,General,7
1080,A01120,China,General,1
1081,A01121,Australia,Student,4
1082,A01122,United States of America,General,8
1083,A01123,China,General,1
1084,A01124,Japan,General,7
1085,A01125,Thailand,General,3
1086,A01126,Japan,General,14
1087,A01127,Japan,General,18
1088,A01128,Japan,Student,10
1089,A01129,Australia,Student,5
1090,A01130,Japan,General,3
1091,A01131,Japan,General,14
1092,A01132,Japan,General,14
1093,A01133,United Arab Emirates,General,8
1094,A01134,China,Student,8
1095,A01135,Japan,General,16
1096,A01136,Czech Republic,General,12
1097,A01137,Japan,General,10
1098,A01138,Japan,General,18
1099,A01139,China,Developing country (*上記注釈をご参照ください),14
1100,A01140,Japan,General,5
1101,A01141,China,General,
1102,A01142,Japan,Student,0
1103,A01143,Japan,General,1
1104,A01144,Switzerland,Student,17
1105,A01145,Sweden,Student,12
1106,A01146,Japan,Student,14
1107,A01147,UK,Student,
1108,A01148,Germany,General,15
1109,A01149,Japan,General,19
1110,A01150,Japan,General,7
1111,A01151,UK,Student,13
1112,A01153,South Africa,General,14
1113,A01154,Japan,Student,7
1114,A01155,France,General,14
1115,A01156,UK,Student,7
1116,A01157,United States of America,General,10
1117,A01158,Germany,General,7
1118,A01159,Slovenia,General,20
1119,A01160,UK,General,17
1120,A01161,United States of America,General,7
1121,A01162,Germany,General,15
1122,A01163,United States of America,General,18
1123,A01164,Thailand,General,19
1124,A01165,United States of America,General,11
1125,A01166,United States of America,General,7
1126,A01167,United States of America,Student,1
1127,A01168,United States of America,General,14
1128,A01169,United States of America,General,18
1129,A01170,United States of America,Student,7
1130,A01171,Canada,General,6
1131,A01172,Canada,Student,
1132,A01173,China,General,7
1133,A01174,Mexico,General,7
1134,A01175,Mexico,General,7
1135,A01176,United States of America,General,20
1136,A01177,United States of America,General,3
1137,A01178,Taiwan,General,12
1138,A01179,United States of America,General,3
1139,A01180,Indonesia,General,3
1140,A01181,United States of America,General,
1141,A01182,Japan,General,1
1142,A01183,Japan,General,18
1143,A01184,Australia,Student,11
1144,A01185,Canada,General,7
1145,A01186,Taiwan,Student,13
1146,A01187,Taiwan,Student,11
1147,A01188,Japan,General,14
1148,A01189,Japan,General,3
1149,A01190,India,Developing country (*上記注釈をご参照ください),14
1150,A01191,Japan,Student,7
1151,A01192,Italy,General,20
1152,A01194,Mexico,Student,5
1153,A01195,United States of America,General,7
1154,A01196,Japan,Student,10
1155,A01197,United States of America,General,14
1156,A01198,Taiwan,General,6
1157,A01199,Japan,Student,7
1158,A01200,Japan,Student,11
1159,A01201,Belgium,General,18
1160,A01202,Taiwan,Student,13
1161,A01203,Japan,General,2
1162,A01204,Japan,General,19
1163,A01205,Japan,General,16
1164,A01206,China,General,10
1165,A01207,Japan,General,18
1166,A01208,Japan,General,8
1167,A01209,China,General,2
1168,A01210,Thailand,General,11
1169,A01211,Finland,General,18
1170,A01212,Czech Republic,Student,6
1171,A01214,United States of America,General,4
1172,A01215,Spain,General,14
1173,A01216,Italy,General,3
1174,A01217,Italy,Student,3
1175,A01218,Japan,General,19
1176,A01219,Japan,General,
1177,A01220,Japan,Student,14
1178,A01221,Japan,Accompanying guest,
1179,A01222,Japan,Student,18
1180,A01223,Japan,Accompanying guest,
1181,A01224,Germany,Student,16
1182,A01225,Japan,Student,8
1183,A01226,China,Student,16
1184,A01227,Japan,Student,7
1185,A01228,Taiwan,General,19
1186,A01229,Taiwan,Student,18
1187,A01230,India,Student,13
1188,A01231,Japan,General,18
1189,A01232,Japan,General,19
1190,A01233,Taiwan,Accompanying guest,19
1191,A01234,United States of America,General,7
1192,A01235,Sri Lanka,Developing country (*上記注釈をご参照ください),14
1193,A01236,United States of America,General,16
1194,A01237,Japan,General,16
1195,A01238,United States of America,General,13
1196,A01239,Australia,Student,14
1197,A01240,Japan,General,14
1198,A01241,Australia,General,18
1199,A01242,Japan,Student,7
1200,A01243,Philippines,Developing country (*上記注釈をご参照ください),5
1201,A01244,Japan,General,18
1202,A01245,Taiwan,General,17
1203,A01246,Philippines,Developing country (*上記注釈をご参照ください),15
1204,A01247,Japan,General,19
1205,A01248,Japan,General,8
1206,A01249,Taiwan,General,
1207,A01250,Japan,General,3
1208,A01251,Japan,General,10
1209,A01252,Australia,General,7
1210,A01253,Japan,Student,7
1211,A01254,Japan,General,10
1212,A01255,Japan,Student,7
1213,A01256,Australia,General,4
1214,A01257,Japan,General,4
1215,A01258,Japan,General,8
1216,A01259,China,Student,6
1217,A01260,United States of America,Student,18
1218,A01261,Taiwan,General,13
1219,A01262,Australia,Student,15
1220,A01263,Australia,General,17
1221,A01264,Brazil,General,3
1222,A01265,Japan,Student,14
1223,A01266,Brazil,Student,10
1224,A01267,Japan,General,6
1225,A01268,China,General,18
1226,A01269,China,General,18
1227,A01270,Brazil,General,3
1228,A01271,Australia,Student,10
1229,A01272,Taiwan,Student,10
1230,A01273,Japan,General,14
1231,A01274,Japan,General,7
1232,A01275,Japan,Student,16
1233,A01276,Japan,Student,3
1234,A01277,China,General,14
1235,A01278,Japan,General,10
1236,A01279,China,General,16
1237,A01280,Japan,General,10
1238,A01281,Japan,General,7
1239,A01282,China,General,
1240,A01284,Japan,Student,14
1241,A01285,Japan,General,10
1242,A01286,Japan,General,18
1243,A01287,Japan,General,4
1244,A01288,China,General,7
1245,A01289,Japan,General,4
1246,A01290,India,Developing country (*上記注釈をご参照ください),4
1247,A01291,Japan,Student,18
1248,A01292,Japan,Student,6
1249,A01293,Japan,Student,6
1250,A01294,Japan,Student,6
1251,A01295,China,General,7
1252,A01296,Japan,Student,13
1253,A01297,Japan,General,7
1254,A01298,India,Student,13
1255,A01299,Japan,Student,14
1256,A01300,Israel,General,16
1257,A01301,China,General,8
1258,A01302,Japan,Student,7
1259,A01303,China,Student,11
1260,A01304,China,General,14
1261,A01305,China,General,6
1262,A01306,Japan,General,14
1263,A01307,China,General,7
1264,A01308,China,General,8
1265,A01309,China,Student,15
1266,A01310,Czech Republic,General,18
1267,A01311,China,General,14
1268,A01312,Japan,General,14
1269,A01313,Japan,General,7
1270,A01314,China,General,14
1271,A01315,Spain,General,6
1272,A01316,Sweden,Student,18
1273,A01317,Germany,General,18
1274,A01318,Poland,General,18
1275,A01319,Norway,General,
1276,A01320,China,Student,15
1277,A01321,Taiwan,General,13
1278,A01322,Japan,General,19
1279,A01323,Japan,General,17
1280,A01324,Sweden,Student,7
1281,A01325,Taiwan,Student,5
1282,A01326,South Africa,Student,
1283,A01327,Netherlands,Student,14
1284,A01328,Germany,General,14
1285,A01329,UK,General,7
1286,A01330,Italy,General,12
1287,A01331,China,General,7
1288,A01332,France,General,20
1289,A01333,Japan,General,7
1290,A01334,Germany,General,7
1291,A01335,India,Developing country (*上記注釈をご参照ください),11
1292,A01336,South Africa,General,14
1293,A01337,Germany,Student,18
1294,A01338,Switzerland,General,3
1295,A01339,Japan,Student,16
1296,A01340,Italy,General,5
1297,A01341,Hong Kong,Student,5
1298,A01342,Serbia,General,3
1299,A01343,Czech Republic,General,3
1300,A01344,Poland,General,16
1301,A01346,Singapore,Student,11
1302,A01347,China,General,14
1303,A01348,Poland,General,16
1304,A01349,Finland,General,18
1305,A01350,UK,General,13
1306,A01351,Switzerland,General,18
1307,A01352,Japan,General,7
1308,A01353,Taiwan,Student,5
1309,A01354,Japan,General,11
1310,A01355,UK,General,13
1311,A01356,Austria,Student,16
1312,A01357,Sweden,General,7
1313,A01358,Sweden,Student,18
1314,A01359,France,General,10
1315,A01360,UK,General,14
1316,A01361,Japan,General,4
1317,A01362,Japan,Student,18
1318,A01363,South Africa,Student,13
1319,A01364,United States of America,General,15
1320,A01365,Japan,Student,7
1321,A01366,Norway,General,5
1322,A01367,Japan,General,14
1323,A01368,China,General,14
1324,A01369,Japan,General,18
1325,A01370,China,Student,14
1326,A01371,United States of America,General,8
1327,A01372,Germany,General,11
1328,A01373,Italy,General,14
1329,A01374,Poland,General,18
1330,A01375,Germany,General,5
1331,A01376,Germany,General,9
1332,A01377,United States of America,General,13
1333,A01378,Colombia,General,18
1334,A01379,Switzerland,General,3
1335,A01380,Italy,General,15
1336,A01381,United States of America,General,14
1337,A01382,Belgium,General,7
1338,A01383,Canada,General,3
1339,A01384,United States of America,General,13
1340,A01385,Taiwan,Student,18
1341,A01386,Greece,General,13
1342,A01387,UK,Student,7
1343,A01388,Germany,General,4
1344,A01389,United States of America,General,18
1345,A01390,Taiwan,Student,16
1346,A01391,United States of America,General,13
1347,A01392,Singapore,General,7
1348,A01393,United States of America,General,17
1349,A01394,United States of America,General,17
1350,A01395,United States of America,General,4
1351,A01396,United States of America,General,15
1352,A01397,United States of America,General,15
1353,A01398,United States of America,General,16
1354,A01400,United States of America,General,11
1355,A01401,France,Student,9
1356,A01402,United States of America,General,7
1357,A01403,UK,General,13
1358,A01404,United States of America,Student,15
1359,A01405,Czech Republic,General,18
1360,A01406,Czech Republic,Student,18
1361,A01407,Japan,General,7
1362,A01408,Japan,Student,14
1363,A01409,United States of America,General,14
1364,A01410,United States of America,General,4
1365,A01411,Brazil,General,3
1366,A01412,United States of America,General,16
1367,A01413,Taiwan,General,18
1368,A01414,Belgium,Student,20
1369,A01415,Italy,General,11
1370,A01416,Canada,General,
1371,A01417,Italy,General,13
1372,A01418,United States of America,General,14
1373,A01419,United States of America,Student,11
1374,A01420,United States of America,General,13
1375,A01421,United States of America,General,3
1376,A01422,Canada,General,16
1377,A01423,United States of America,Student,1
1378,A01424,United States of America,General,6
1379,A01425,United States of America,General,8
1380,A01426,Germany,General,2
1381,A01427,United States of America,General,13
1382,A01428,Italy,General,3
1383,A01429,United States of America,General,20
1384,A01430,Switzerland,General,7
1385,A01431,United States of America,Student,16
1386,A01432,United States of America,General,15
1387,A01433,United States of America,General,14
1388,A01434,Belgium,Student,5
1389,A01435,United States of America,General,14
1390,A01436,United States of America,General,14
1391,A01437,Japan,Student,9
1392,A01438,Mexico,General,14
1393,A01439,United States of America,General,18
1394,A01440,United States of America,General,6
1395,A01441,Japan,Student,8
1396,A01442,United States of America,General,14
1397,A01443,United States of America,General,16
1398,A01444,Japan,General,8
1399,A01445,United States of America,Student,18
1400,A01446,Japan,Student,7
1401,A01447,Japan,General,6
1402,A01448,Australia,General,15
1403,A01449,Taiwan,Student,18
1404,A01450,Australia,Student,18
1405,A01451,Japan,Student,7
1406,A01452,Japan,Student,6
1407,A01453,Australia,General,12
1408,A01454,Korea,General,18
1409,A01455,China,General,16
1410,A01456,Taiwan,Student,14
1411,A01457,China,Student,6
1412,A01458,Canada,General,13
1413,A01459,Japan,Student,10
1414,A01460,Japan,General,15
1415,A01461,Japan,General,13
1416,A01462,Japan,Student,9
1417,A01463,Australia,General,11
1418,A01464,Japan,Student,9
1419,A01465,Japan,General,6
1420,A01466,Taiwan,General,14
1421,A01467,Japan,General,10
1422,A01468,China,General,
1423,A01470,Japan,Student,3
1424,A01471,Japan,General,14
1425,A01472,Thailand,General,13
1426,A01473,United States of America,Student,4
1427,A01474,Thailand,General,3
1428,A01475,China,General,13
1429,A01476,United States of America,Student,6
1430,A01477,Japan,General,7
1431,A01478,Australia,General,18
1432,A01479,Taiwan,General,9
1433,A01480,Australia,Student,5
1434,A01481,Japan,Student,12
1435,A01482,Japan,General,14
1436,A01483,Australia,General,14
1437,A01484,Australia,General,13
1438,A01485,Thailand,General,13
1439,A01486,Japan,General,2
1440,A01487,Australia,Student,10
1441,A01488,Japan,Student,16
1442,A01489,Japan,General,7
1443,A01490,India,Developing country (*上記注釈をご参照ください),2
1444,A01491,China,General,7
1445,A01492,Japan,Student,16
1446,A01493,Taiwan,Student,3
1447,A01494,Japan,General,10
1448,A01495,Japan,Student,14
1449,A01496,Korea,General,5
1450,A01497,Korea,Student,7
1451,A01498,China,Student,14
1452,A01499,Japan,General,8
1453,A01500,Korea,Student,7
1454,A01501,Korea,General,17
1455,A01502,Japan,Student,10
1456,A01503,Korea,Student,18
1457,A01504,Korea,Student,5
1458,A01505,Japan,General,6
1459,A01506,Japan,Student,7
1460,A01507,Japan,Student,14
1461,A01508,Japan,Student,17
1462,A01509,Japan,Student,5
1463,A01510,Japan,Student,19
1464,A01511,China,Student,15
1465,A01512,Japan,General,6
1466,A01513,China,General,16
1467,A01514,Japan,General,2
1468,A01515,Korea,General,18
1469,A01516,Japan,General,11
1470,A01517,China,Student,12
1471,A01518,United States of America,General,7
1472,A01519,Taiwan,General,14
1473,A01520,Taiwan,Student,14
1474,A01521,Japan,Student,14
1475,A01522,Japan,General,10
1476,A01523,Thailand,Student,13
1477,A01524,Belgium,Student,19
1478,A01525,Indonesia,General,15
1479,A01526,Korea,Student,20
1480,A01527,Japan,General,2
1481,A01528,Japan,General,14
1482,A01529,Russia,General,10
1483,A01530,Korea,Accompanying guest,
1484,A01531,Taiwan,Student,17
1485,A01533,Japan,General,8
1486,A01534,Thailand,General,13
1487,A01535,Taiwan,Student,4
1488,A01536,Japan,General,14
1489,A01538,China,Student,16
1490,A01539,Switzerland,Student,7
1491,A01540,Japan,Student,17
1492,A01541,Japan,Student,19
1493,A01542,Italy,General,3
1494,A01543,Korea,General,10
1495,A01544,Korea,General,10
1496,A01545,Taiwan,Student,11
1497,A01546,China,General,15
1498,A01547,Italy,General,14
1499,A01548,Japan,Student,18
1500,A01549,France,General,6
1501,A01550,Germany,Accompanying guest,20
1502,A01551,Norway,General,14
1503,A01552,Japan,Student,7
1504,A01553,India,Developing country (*上記注釈をご参照ください),14
1505,A01554,Poland,General,16
1506,A01555,Sweden,General,16
1507,A01556,Japan,General,5
1508,A01557,Japan,Student,20
1509,A01558,Germany,General,13
1510,A01559,Japan,Student,13
1511,A01560,Italy,General,3
1512,A01561,India,Developing country (*上記注釈をご参照ください),14
1513,A01562,Japan,Student,10
1514,A01563,India,Developing country (*上記注釈をご参照ください),14
1515,A01564,China,Student,14
1516,A01565,Czech Republic,General,6
1517,A01566,China,General,14
1518,A01567,Austria,General,1
1519,A01568,Finland,General,18
1520,A01569,UK,General,15
1521,A01570,France,Student,18
1522,A01571,Japan,Student,8
1523,A01572,Poland,General,16
1524,A01574,Japan,Student,18
1525,A01575,China,Student,14
1526,A01576,Switzerland,Student,12
1527,A01577,UK,General,14
1528,A01578,Thailand,General,13
1529,A01579,Taiwan,General,18
1530,A01580,Greece,Student,15
1531,A01581,Czech Republic,General,16
1532,A01582,Norway,Student,5
1533,A01583,Switzerland,General,7
1534,A01584,Japan,Student,7
1535,A01585,Japan,Student,7
1536,A01586,Taiwan,General,7
1537,A01587,Belgium,General,15
1538,A01588,UK,General,14
1539,A01589,Turkey,Student,16
1540,A01590,United States of America,General,10
1541,A01591,Russia,General,7
1542,A01592,Sweden,General,19
1543,A01593,Netherlands,General,10
1544,A01594,Italy,General,11
1545,A01595,France,General,14
1546,A01596,United States of America,General,16
1547,A01597,UK,General,18
1548,A01598,United States of America,General,17
1549,A01599,Taiwan,General,7
1550,A01600,Puerto Rico,General,13
1551,A01601,Germany,General,18
1552,A01602,United States of America,General,16
1553,A01603,Ireland,Student,12
1554,A01604,United States of America,General,15
1555,A01605,United States of America,Student,8
1556,A01606,United States of America,Student,18
1557,A01607,China,General,15
1558,A01608,Italy,Student,14
1559,A01609,Japan,General,7
1560,A01610,Japan,Student,10
1561,A01611,United States of America,General,15
1562,A01612,Israel,Student,16
1563,A01613,Belgium,Student,3
1564,A01614,Belgium,General,14
1565,A01615,Slovenia,General,16
1566,A01616,Belgium,Student,18
1567,A01617,Germany,Accompanying guest,
1568,A01618,United States of America,Student,8
1569,A01619,United States of America,General,3
1570,A01620,Japan,Student,7
1571,A01621,United States of America,General,14
1572,A01622,Pakistan,General,18
1573,A01623,United States of America,General,8
1574,A01624,Sweden,General,5
1575,A01625,United States of America,General,7
1576,A01626,Argentine,General,7
1577,A01627,United States of America,Student,7
1578,A01628,Canada,Student,18
1579,A01629,United States of America,General,16
1580,A01630,United States of America,General,10
1581,A01631,United States of America,General,2
1582,A01632,United States of America,General,
1583,A01633,Czech Republic,Student,5
1584,A01634,United States of America,General,12
1585,A01635,United States of America,General,7
1586,A01636,United States of America,General,2
1587,A01637,United States of America,General,13
1588,A01638,United States of America,Student,10
1589,A01639,United States of America,General,14
1590,A01640,United States of America,Student,18
1591,A01641,United States of America,General,10
1592,A01642,United States of America,General,9
1593,A01643,Germany,Student,5
1594,A01644,United States of America,Student,14
1595,A01645,United States of America,General,16
1596,A01646,Canada,Student,16
1597,A01647,United States of America,Student,10
1598,A01648,United States of America,General,7
1599,A01649,United States of America,General,2
1600,A01650,United States of America,General,10
1601,A01651,United States of America,General,14
1602,A01652,United States of America,General,8
1603,A01653,United States of America,Student,10
1604,A01654,United States of America,General,8
1605,A01655,United States of America,Student,4
1606,A01656,United States of America,General,7
1607,A01657,United States of America,General,20
1608,A01658,United States of America,General,14
1609,A01659,United States of America,General,7
1610,A01660,United States of America,General,4
1611,A01661,Italy,General,2
1612,A01662,United States of America,General,16
1613,A01663,United States of America,General,10
1614,A01664,Canada,Student,16
1615,A01665,Canada,General,10
1616,A01666,United States of America,Student,6
1617,A01667,Italy,Accompanying guest,2
1618,A01668,Italy,Accompanying guest,2
1619,A01669,United States of America,General,6
1620,A01670,United States of America,General,2
1621,A01671,United States of America,General,16
1622,A01672,Italy,General,12
1623,A01673,Puerto Rico,Student,10
1624,A01674,United States of America,Student,7
1625,A01675,Australia,General,18
1626,A01676,United States of America,General,17
1627,A01677,Japan,Student,3
1628,A01678,Croatia,General,5
1629,A01679,Japan,General,7
1630,A01680,United States of America,General,12
1631,A01681,Japan,General,12
1632,A01682,Australia,General,14
1633,A01683,Japan,General,13
1634,A01684,United States of America,General,14
1635,A01685,Korea,General,
1636,A01686,China,General,6
1637,A01687,Japan,Student,7
1638,A01688,Germany,General,7
1639,A01689,Brazil,General,18
1640,A01690,Japan,General,19
1641,A01691,United States of America,General,7
1642,A01692,China,Student,3
1643,A01693,Japan,Student,4
1644,A01694,Australia,Student,17
1645,A01695,Japan,General,17
1646,A01696,Korea,Student,18
1647,A01697,China,General,17
1648,A01698,China,General,6
1649,A01699,Japan,General,19
1650,A01700,Japan,General,20
1651,A01701,Japan,Student,11
1652,A01702,China,General,14
1653,A01703,China,General,
1654,A01704,Australia,General,7
1655,A01705,Japan,General,14
1656,A01706,United States of America,General,14
1657,A01707,Korea,Student,14
1658,A01708,United States of America,General,15
1659,A01709,Korea,General,15
1660,A01710,Japan,General,15
1661,A01711,China,General,
1662,A01712,Japan,General,7
1663,A01713,Japan,Student,7
1664,A01714,China,General,17
1665,A01715,Japan,Guest (*このカテゴリは選択しないでください),
1666,A01716,China,General,3
1667,A01717,Korea,Student,15
1668,A01718,Japan,General,2
1669,A01719,Japan,Student,18
1670,A01720,China,General,14
1671,A01721,Japan,General,10
1672,A01722,Japan,General,7
1673,A01723,Canada,Student,16
1674,A01724,Japan,General,5
1675,A01725,Hong Kong,General,5
1676,A01726,Japan,Student,18
1677,A01727,Japan,Student,18
1678,A01728,Japan,General,14
1679,A01729,United States of America,Student,17
1680,A01730,Korea,Student,14
1681,A01731,Japan,General,10
1682,A01732,Australia,General,18
1683,A01733,Australia,General,7
1684,A01734,Japan,General,13
1685,A01735,Japan,General,10
1686,A01736,Japan,General,1
1687,A01737,Australia,General,14
1688,A01738,Japan,Student,7
1689,A01739,China,General,14
1690,A01740,Japan,General,20
1691,A01741,Japan,Student,11
1692,A01742,Japan,General,4
1693,A01743,Japan,General,14
1694,A01744,Taiwan,General,18
1695,A01745,Australia,Student,18
1696,A01746,Korea,Student,18
1697,A01747,Japan,Student,18
1698,A01748,Japan,Student,11
1699,A01749,Japan,Student,10
1700,A01750,Japan,Student,11
1701,A01751,Japan,Student,18
1702,A01752,Australia,General,11
1703,A01753,Japan,Student,1
1704,A01754,Japan,General,20
1705,A01755,Switzerland,General,14
1706,A01756,Australia,General,
1707,A01757,Japan,General,1
1708,A01758,China,General,13
1709,A01759,Japan,Student,
1710,A01760,Thailand,General,8
1711,A01761,Taiwan,Student,7
1712,A01762,Japan,General,15
1713,A01763,Romania,General,12
1714,A01764,Japan,Student,7
1715,A01765,Italy,Accompanying guest,8
1716,A01766,Sri Lanka,Student,12
1717,A01767,Russia,General,20
1718,A01768,Austria,General,1
1719,A01769,Japan,Student,7
1720,A01770,Japan,General,13
1721,A01771,Japan,General,4
1722,A01772,Japan,Student,7
1723,A01773,Taiwan,General,13
1724,A01774,China,Student,14
1725,A01775,Japan,General,4
1726,A01776,Spain,General,14
1727,A01777,Japan,Student,5
1728,A01778,Singapore,Student,5
1729,A01779,Japan,Student,17
1730,A01780,Taiwan,General,7
1731,A01781,United States of America,General,17
1732,A01782,Japan,General,17
1733,A01783,China,Student,1
1734,A01784,Estonia,General,7
1735,A01785,Japan,General,13
1736,A01786,Japan,General,3
1737,A01787,China,Student,14
1738,A01788,UK,General,7
1739,A01789,United Arab Emirates,General,12
1740,A01790,United States of America,General,18
1741,A01791,Korea,Student,20
1742,A01792,China,Student,14
1743,A01793,Japan,General,7
1744,A01794,Germany,Student,4
1745,A01795,Italy,General,3
1746,A01796,Palestine,Student,4
1747,A01797,Taiwan,Student,7
1748,A01798,Taiwan,General,3
1749,A01800,Taiwan,Student,14
1750,A01801,Germany,General,12
1751,A01802,Japan,General,3
1752,A01803,Japan,Student,3
1753,A01804,Japan,General,11
1754,A01805,Japan,Student,14
1755,A01806,Japan,Student,3
1756,A01807,China,General,8
1757,A01808,Taiwan,Student,5
1758,A01809,France,Student,3
1759,A01810,Germany,Student,16
1760,A01811,Poland,General,16
1761,A01812,Greece,Student,5
1762,A01813,Greece,Student,14
1763,A01814,Netherlands,General,6
1764,A01815,China,General,3
1765,A01816,India,Developing country (*上記注釈をご参照ください),7
1766,A01817,China,General,
1767,A01818,Italy,Student,16
1768,A01819,Poland,Student,17
1769,A01820,Spain,General,3
1770,A01821,Belgium,Student,15
1771,A01822,UK,Student,8
1772,A01823,Japan,Student,3
1773,A01824,UK,Student,8
1774,A01825,Spain,General,14
1775,A01826,Spain,General,3
1776,A01827,Spain,General,3
1777,A01828,Germany,General,5
1778,A01829,UK,General,16
1779,A01830,Chile,Student,3
1780,A01831,Taiwan,Student,14
1781,A01832,Italy,General,11
1782,A01833,Japan,Student,7
1783,A01834,Romania,Developing country (*上記注釈をご参照ください),
1784,A01835,Turkey,General,13
1785,A01836,Turkey,General,13
1786,A01837,United States of America,General,11
1787,A01838,Czech Republic,General,2
1788,A01839,Japan,General,3
1789,A01840,Singapore,General,5
1790,A01841,Switzerland,General,15
1791,A01842,Japan,General,14
1792,A01843,United States of America,General,4
1793,A01844,Italy,Student,17
1794,A01845,UK,General,
1795,A01846,China,General,14
1796,A01847,Colombia,General,18
1797,A01848,Japan,General,1
1798,A01849,United States of America,Student,17
1799,A01850,Japan,Student,10
1800,A01851,UK,Student,8
1801,A01852,UK,General,15
1802,A01853,Taiwan,Student,3
1803,A01854,UK,General,7
1804,A01855,Japan,Student,19
1805,A01856,Germany,General,16
1806,A01857,China,Student,10
1807,A01858,United States of America,General,18
1808,A01859,United States of America,General,16
1809,A01860,China,General,5
1810,A01861,United States of America,General,16
1811,A01863,United States of America,General,13
1812,A01864,Italy,General,2
1813,A01865,UK,Student,12
1814,A01866,United States of America,General,14
1815,A01867,UK,General,7
1816,A01868,United States of America,Student,17
1817,A01869,United States of America,General,6
1818,A01870,Italy,General,3
1819,A01871,United States of America,General,10
